headword_english,pos_raw,definition_raw,source_image,source_text,decision,notes
"Bier","vn.","moyaro oa bafu. f","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Big","aclj.","e tenya, kholo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Bigamy","v.","ho nyala basali ba babeli. 1","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Bile","w.","nyooko.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Bill","n.","(a beak) molomo oa tb","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Bind","v.","(to fasten) ho tlama,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Bird","v.","nonyana, serura.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Birth","n.","tsualo, thaho.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Birthday","n.","\etsatsi la teua=f lo ea motho. !","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Blast","v.","(to cause to wither ho pontia; (to destroy ho senya; (to split wit powder) ho qhdémisa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Bleach","v.","ho sueufatsa ma sela.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Bleak","adj.","(exposed) e phe nydleng; (cold) ¢ hatse tseng.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Bleat","v.","ho lla ha uku.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
"Bleed","v.","ho tsua mali; (¢ bleed by lancing) hh","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_026_left.png","page_026_left.txt","",""
