headword_english,pos_raw,definition_raw,source_image,source_text,decision,notes
"Brotherhood","n.","hoena.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Brow","n.","( forehead) phatia.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Brown","adj.","@ sootho.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Browse","v.","ho ya lintlha tsa makala a lihlahla.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Brrbe","un.","néo ca ho khopa-misa kahlolo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Brush","n.","and y, (for eclean-ing) borosolo, ho boro-sola: (a skirmish) ntoa-nyana.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Brutality","n.","sehloho. Brute, ‘n. (a beast) phoofolo: (a savage person) motho ea sehloho.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Buarnesa","vn.","mosehetsi, téina-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_031_left.png","page_031_left.txt","",""
"Bubble","n.","pulula, sebulula; (something not real) ntho esa tiéang, e sé nang ""nete.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Buck","n.","khama e téna.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Buckle","vy.","ho ngoma, ngoméla.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Bud","n.","mondk6; v. ho etsa lin6k6, ho thunya.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Bugle","n.","phala (ea masole).","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Build","v.","ho haha.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Builder","n.","sehahi. Building, » mohaho.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Bulb","n.","schoete.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Bulky","adj.","e kholo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
"Bull","n.","poho.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_right.png","page_030_right.txt","",""
